telomere_length,age,cigarette_smoking,alcohol_drinking,physical_activity_cohort,bmi,bp_category,hr,rr,cardiovascular_disease_diagnosis,sex_Female,sex_Male,rural_or_urban_Rural,rural_or_urban_Urban
2.3627899838628596e-06,-8.62850317794344e-05,-2.491976081893481e-06,-7.722268655954469e-06,2.1756973900000418e-06,5.943989876849033e-06,-5.9984758375561196e-05,1.912716967305232e-06,-1.2826641624570862e-05,-1.226878496981573e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
1.44240637758786e-05,-0.00014923808734126524,1.3585288962580592e-05,3.0889074623817876e-05,-2.890569389571486e-05,3.7163001957887836e-06,4.111314899898014e-05,-1.336124792587629e-05,2.0402999889861425e-05,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,1.986747281372757e-05,1.9867472814337105e-05
-1.4125468196233566e-05,8.2901305042986e-05,-2.491976081893481e-06,3.0889074623817876e-05,3.325708867571494e-05,-8.629247436129673e-07,7.413846540799692e-06,-2.6000453874984e-06,7.1111432840885085e-06,-1.226878496981573e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
5.5125216160171426e-05,9.470500296082929e-05,-2.491976081893481e-06,-7.722268655954469e-06,-5.9987085181429754e-05,2.1552484394062313e-06,4.111314899898014e-05,8.713102700428551e-07,-6.180713321684405e-06,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,1.986747281372757e-05,1.9867472814337105e-05
-8.411044470802887e-06,9.077043698821486e-05,-2.491976081893481e-06,-7.722268655954469e-06,3.325708867571494e-05,6.058363620558559e-06,7.413846540799692e-06,-3.988587650514902e-06,4.652149812020521e-07,-1.226878496981573e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
8.84515998069529e-06,-1.54628442723747e-05,-2.491976081893481e-06,3.0889074623817876e-05,3.325708867571494e-05,8.624153970396449e-07,7.413846540799692e-06,4.689801493338236e-06,4.652149812020521e-07,-1.226878496981573e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
-1.6226027115067766e-05,-8.235046580681996e-05,-2.491976081893481e-06,3.0889074623817876e-05,3.325708867571494e-05,-2.7821265487888115e-06,4.111314899898014e-05,-5.377129913531404e-06,-1.2826641624570862e-05,-1.226878496981573e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
5.1409485539339026e-06,-6.267763594374783e-05,-2.491976081893481e-06,-4.6333611935726814e-05,3.325708867571494e-05,4.501472062414797e-06,4.111314899898014e-05,-5.17231992973647e-07,-6.180713321684405e-06,3.003737009851437e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
3.334016150635662e-06,0.00010650870087867257,-2.491976081893481e-06,-7.722268655954469e-06,2.1756973900000418e-06,2.8438870106487676e-06,-5.9984758375561196e-05,5.241747042887295e-07,2.0402999889861425e-05,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,-0.00014569480063400232,-0.00014569480063847203
6.462042007295335e-07,-0.00013349982345080752,-2.491976081893481e-06,3.0889074623817876e-05,2.1756973900000418e-06,-1.1692136409953053e-06,7.413846540799692e-06,1.5655814015511064e-06,4.652149812020521e-07,3.003737009851437e-05,1.9114811472308603e-05,1.9114811472726335e-05,1.986747281372757e-05,1.9867472814337105e-05
